dataset,feature_name,prediction_time_availability,possible_leakage,manual_notes
US_Accidents,ID,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Source,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Severity,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Start_Time,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,End_Time,TARGET_OR_TARGET_DERIVED,HIGH,
US_Accidents,Start_Lat,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Start_Lng,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,End_Lat,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,End_Lng,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Distance(mi),REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Description,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Street,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,City,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,County,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,State,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Zipcode,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Country,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Timezone,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Airport_Code,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Weather_Timestamp,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Temperature(F),REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Wind_Chill(F),REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Humidity(%),REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Pressure(in),REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Visibility(mi),REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Wind_Direction,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Wind_Speed(mph),REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Precipitation(in),REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Weather_Condition,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Amenity,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Bump,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Crossing,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Give_Way,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Junction,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,No_Exit,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Railway,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Roundabout,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Station,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Stop,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Traffic_Calming,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Traffic_Signal,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Turning_Loop,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Sunrise_Sunset,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Civil_Twilight,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Nautical_Twilight,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
US_Accidents,Astronomical_Twilight,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,X,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,Y,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,OBJECTID,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CRASH_KEY,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CASENUMBER,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,LECASENUM,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CRASH_DATE,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CRASH_MONTH,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CRASH_DAY,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,TIMESTR,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,DISTRICT,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,COUNTY_NUMBER,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CITY_NUMBER,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,SYSTEMSTR,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,LITERAL,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,FRSTHARM,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,LOCFSTHRM,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CRCOMNNR,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,MAJCSE,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,DRUGALC,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,ECNTCRC,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,LIGHT,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CSRFCND,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,WEATHER,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,RCNTCRC,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,RDTYP,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,PAVED,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,WZRELATED,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CSEV,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,FATALITIES,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,INJURIES,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,MAJINJURY,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,MININJURY,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,POSSINJURY,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,UNKINJURY,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,PROPDMG,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,VEHICLES,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,TOCCUPANTS,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,REPORT,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,XCOORD,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,YCOORD,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,REST_UPDATED,METADATA_OR_POST_RECORD_UPDATE,HIGH,
Iowa_DOT,REST_UPDATE_UTC_OFFSET,METADATA_OR_POST_RECORD_UPDATE,HIGH,
Iowa_DOT,CRASH_DATETIME,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CRASH_DATETIME_UTC,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CRASH_DATETIME_UTC_OFFSET,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CITY_NAME,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,COUNTY_NAME,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,CARDINAL,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
Iowa_DOT,GLOBALID,REQUIRES_MANUAL_CLASSIFICATION,UNKNOWN,
